TimeStep,Channel A,Channel C
0,1174.1683,0.0
1,3522.505,19.569471
2,1956.9471,0.0
3,3131.1155,9.784736
4,1565.5577,0.0
5,3131.1155,19.569471
6,1174.1683,-19.569471
7,3131.1155,39.138943
8,1956.9471,-9.784736
9,2739.726,39.138943
10,1565.5577,0.0
11,3131.1155,19.569471
12,1565.5577,-9.784736
13,3131.1155,9.784736
14,1565.5577,-9.784736
15,3913.8943,39.138943
16,1565.5577,-9.784736
17,3522.505,19.569471
18,1956.9471,0.0
19,3131.1155,19.569471
20,1174.1683,0.0
21,2348.3367,39.138943
22,1565.5577,-9.784736
23,3522.505,29.354208
24,1174.1683,0.0
25,3131.1155,19.569471
26,1565.5577,0.0
27,3131.1155,9.784736
28,1565.5577,-19.569471
29,3131.1155,39.138943
30,1174.1683,9.784736
31,4305.2837,29.354208
32,1956.9471,19.569471
33,3522.505,29.354208
34,1565.5577,9.784736
35,3131.1155,29.354208
36,1174.1683,-19.569471
37,3522.505,39.138943
38,1565.5577,-9.784736
39,3913.8943,29.354208
40,1956.9471,9.784736
41,4305.2837,29.354208
42,1565.5577,9.784736
43,3522.505,29.354208
44,1565.5577,0.0
45,3131.1155,39.138943
46,1565.5577,-19.569471
47,4305.2837,29.354208
48,1565.5577,-9.784736
49,3913.8943,39.138943
50,1956.9471,-9.784736
51,3522.505,39.138943
52,782.7789,9.784736
53,3131.1155,29.354208
54,1565.5577,0.0
55,3913.8943,19.569471
56,2348.3367,0.0
57,3131.1155,29.354208
58,1565.5577,19.569471
59,3913.8943,29.354208
60,1565.5577,-9.784736
61,3913.8943,19.569471
62,1565.5577,-9.784736
63,3522.505,19.569471
64,1565.5577,-9.784736
65,3913.8943,0.0
66,1956.9471,0.0
67,3131.1155,29.354208
68,2348.3367,9.784736
69,3131.1155,29.354208
70,782.7789,-19.569471
71,3913.8943,19.569471
72,391.38943,9.784736
73,2739.726,19.569471
74,1565.5577,-9.784736
75,3131.1155,0.0
76,1565.5577,0.0
77,3522.505,29.354208
78,1174.1683,9.784736
79,3131.1155,19.569471
80,1956.9471,-19.569471
81,3522.505,29.354208
82,1565.5577,-19.569471
83,3131.1155,19.569471
84,1956.9471,-19.569471
85,3913.8943,19.569471
86,1174.1683,-19.569471
87,3131.1155,29.354208
88,1956.9471,0.0
89,3522.505,19.569471
90,1565.5577,-19.569471
91,3131.1155,19.569471
92,1565.5577,-9.784736
93,3522.505,19.569471
94,1565.5577,-9.784736
95,3913.8943,29.354208
96,1565.5577,-9.784736
97,3522.505,39.138943
98,1565.5577,9.784736
99,3131.1155,19.569471
100,1565.5577,0.0
101,3131.1155,19.569471
102,1956.9471,0.0
103,2739.726,29.354208
104,1174.1683,0.0
105,2739.726,29.354208
106,1174.1683,0.0
107,2739.726,39.138943
108,1565.5577,-19.569471
109,2739.726,29.354208
110,1174.1683,-19.569471
111,2739.726,9.784736
112,1565.5577,9.784736
113,3522.505,29.354208
114,1565.5577,9.784736
115,3131.1155,19.569471
116,1174.1683,0.0
117,2739.726,29.354208
118,1174.1683,0.0
119,3131.1155,48.92368
120,1565.5577,-19.569471
121,3131.1155,39.138943
122,1565.5577,19.569471
123,2348.3367,29.354208
124,1956.9471,0.0
125,3131.1155,19.569471
126,782.7789,-29.354208
127,3131.1155,19.569471
128,1565.5577,-19.569471
129,3131.1155,29.354208
130,1565.5577,19.569471
131,2739.726,9.784736
132,1565.5577,0.0
133,2739.726,19.569471
134,1174.1683,0.0
135,3131.1155,0.0
136,1174.1683,0.0
137,3131.1155,29.354208
138,1956.9471,0.0
139,2739.726,19.569471
140,1174.1683,9.784736
141,3131.1155,29.354208
142,1956.9471,9.784736
143,3131.1155,48.92368
144,1565.5577,0.0
145,3913.8943,29.354208
146,1565.5577,0.0
147,3131.1155,39.138943
148,1174.1683,9.784736
149,3522.505,19.569471
150,1565.5577,0.0
151,2739.726,29.354208
152,1174.1683,-9.784736
153,3131.1155,9.784736
154,1956.9471,0.0
155,3131.1155,19.569471
156,1174.1683,0.0
157,3522.505,9.784736
158,1956.9471,0.0
159,3522.505,19.569471
160,1956.9471,-9.784736
161,3522.505,19.569471
162,1565.5577,-9.784736
163,3131.1155,29.354208
164,1956.9471,-9.784736
165,3522.505,29.354208
166,1565.5577,-19.569471
167,3913.8943,39.138943
168,1565.5577,-19.569471
169,3131.1155,39.138943
170,1956.9471,-19.569471
171,3522.505,29.354208
172,1565.5577,9.784736
173,3131.1155,39.138943
174,2348.3367,9.784736
175,4305.2837,19.569471
176,1565.5577,0.0
177,3913.8943,48.92368
178,1956.9471,9.784736
179,3913.8943,19.569471
180,1956.9471,-9.784736
181,3131.1155,39.138943
182,2348.3367,9.784736
183,3913.8943,39.138943
184,1956.9471,0.0
185,3522.505,29.354208
186,1956.9471,0.0
187,3913.8943,29.354208
188,1956.9471,-19.569471
189,3913.8943,19.569471
190,1565.5577,0.0
191,3522.505,39.138943
192,1956.9471,0.0
193,2739.726,9.784736
194,391.38943,0.0
195,3131.1155,19.569471
196,1565.5577,-29.354208
197,3522.505,19.569471
198,1565.5577,0.0
199,3131.1155,29.354208
200,1956.9471,9.784736
201,3131.1155,19.569471
202,1565.5577,-9.784736
203,3913.8943,19.569471
204,1174.1683,-19.569471
205,3522.505,19.569471
206,1565.5577,-19.569471
207,3522.505,29.354208
208,1565.5577,0.0
209,3131.1155,29.354208
210,1565.5577,-19.569471
211,3913.8943,0.0
212,1565.5577,-19.569471
213,4305.2837,19.569471
214,1565.5577,9.784736
215,3522.505,0.0
216,1174.1683,-19.569471
217,3913.8943,19.569471
218,1956.9471,-19.569471
219,3522.505,9.784736
220,1956.9471,0.0
221,3522.505,19.569471
222,1565.5577,-9.784736
223,3913.8943,19.569471
224,1956.9471,0.0
225,3131.1155,39.138943
226,1956.9471,-19.569471
227,2739.726,29.354208
228,1956.9471,-9.784736
229,3131.1155,9.784736
230,1565.5577,-19.569471
231,3913.8943,29.354208
232,1956.9471,19.569471
233,3131.1155,29.354208
234,782.7789,0.0
235,3913.8943,9.784736
236,1565.5577,-9.784736
237,3131.1155,29.354208
238,1565.5577,-29.354208
239,3522.505,19.569471
240,1565.5577,9.784736
241,3913.8943,29.354208
242,1174.1683,-9.784736
243,3131.1155,9.784736
244,2348.3367,9.784736
245,3131.1155,19.569471
246,1565.5577,-19.569471
247,3131.1155,19.569471
248,1565.5577,0.0
249,3913.8943,19.569471
250,1565.5577,-19.569471
251,2739.726,29.354208
252,391.38943,-9.784736
253,3522.505,29.354208
254,1565.5577,9.784736
255,2348.3367,9.784736
256,1565.5577,-9.784736
257,3131.1155,39.138943
258,1956.9471,9.784736
259,3131.1155,39.138943
260,1565.5577,-9.784736
261,3522.505,19.569471
262,1174.1683,19.569471
263,3131.1155,29.354208
264,1565.5577,0.0
265,3522.505,19.569471
266,1565.5577,19.569471
267,3522.505,29.354208
268,1956.9471,9.784736
269,2739.726,39.138943
270,1174.1683,9.784736
271,2739.726,29.354208
272,1565.5577,19.569471
273,3131.1155,29.354208
274,1565.5577,-9.784736
275,3131.1155,48.92368
276,1565.5577,-9.784736
277,2739.726,19.569471
278,1174.1683,-19.569471
279,3522.505,39.138943
280,1174.1683,0.0
281,3131.1155,29.354208
282,1565.5577,-9.784736
283,3131.1155,0.0
284,1565.5577,0.0
285,3131.1155,19.569471
286,1565.5577,9.784736
287,2739.726,29.354208
288,1565.5577,-9.784736
289,3131.1155,19.569471
290,1956.9471,0.0
291,3913.8943,29.354208
292,1956.9471,0.0
293,2739.726,19.569471
294,1956.9471,-19.569471
295,3522.505,19.569471
296,1174.1683,19.569471
297,2739.726,29.354208
298,782.7789,-9.784736
299,3913.8943,48.92368
300,391.38943,19.569471
301,3131.1155,9.784736
302,1956.9471,9.784736
303,3913.8943,29.354208
304,1174.1683,9.784736
305,3131.1155,9.784736
306,782.7789,-9.784736
307,3131.1155,19.569471
308,1565.5577,29.354208
309,4305.2837,9.784736
310,782.7789,0.0
311,3522.505,29.354208
312,782.7789,0.0
313,2739.726,19.569471
314,1565.5577,-19.569471
315,3131.1155,19.569471
316,2348.3367,9.784736
317,3131.1155,19.569471
318,1565.5577,9.784736
319,3131.1155,29.354208
320,1956.9471,-19.569471
321,3131.1155,29.354208
322,1956.9471,9.784736
323,2739.726,29.354208
324,782.7789,-19.569471
325,3131.1155,29.354208
326,1956.9471,-9.784736
327,3522.505,29.354208
328,1956.9471,9.784736
329,3522.505,29.354208
330,1174.1683,9.784736
331,3131.1155,39.138943
332,1565.5577,-9.784736
333,3913.8943,29.354208
334,391.38943,-29.354208
335,2739.726,19.569471
336,782.7789,0.0
337,3913.8943,29.354208
338,2348.3367,-19.569471
339,3522.505,9.784736
340,1565.5577,9.784736
341,3131.1155,29.354208
342,1956.9471,-9.784736
343,3131.1155,19.569471
344,1956.9471,-19.569471
345,3131.1155,19.569471
346,1956.9471,-9.784736
347,2739.726,29.354208
348,1956.9471,-19.569471
349,3913.8943,29.354208
350,1565.5577,-9.784736
351,3131.1155,9.784736
352,1174.1683,-19.569471
353,3131.1155,19.569471
354,1956.9471,0.0
355,3522.505,29.354208
356,1174.1683,0.0
357,3131.1155,9.784736
358,1174.1683,0.0
