TimeStep,Channel A,Channel C
0,391.38943,15.655578
1,1565.5577,11.741683
2,782.7789,15.655578
3,1174.1683,15.655578
4,391.38943,11.741683
5,0.0,11.741683
6,1565.5577,15.655578
7,782.7789,15.655578
8,391.38943,15.655578
9,1174.1683,11.741683
10,1174.1683,15.655578
11,1565.5577,11.741683
12,391.38943,15.655578
13,1565.5577,15.655578
14,391.38943,11.741683
15,1565.5577,15.655578
16,1565.5577,11.741683
17,1565.5577,11.741683
18,1174.1683,15.655578
19,391.38943,7.827789
20,1565.5577,7.827789
21,1174.1683,19.569471
22,1174.1683,11.741683
23,1565.5577,11.741683
24,391.38943,11.741683
25,1565.5577,19.569471
26,1565.5577,11.741683
27,1565.5577,7.827789
28,782.7789,11.741683
29,1565.5577,15.655578
30,1174.1683,15.655578
31,1565.5577,19.569471
32,391.38943,23.483366
33,391.38943,3.9138944
34,1174.1683,15.655578
35,1565.5577,3.9138944
36,1174.1683,11.741683
37,1565.5577,7.827789
38,782.7789,11.741683
39,391.38943,15.655578
40,391.38943,15.655578
41,782.7789,15.655578
42,1174.1683,7.827789
43,1565.5577,19.569471
44,1565.5577,19.569471
45,1174.1683,11.741683
46,1174.1683,11.741683
47,782.7789,3.9138944
48,782.7789,11.741683
49,782.7789,7.827789
50,1565.5577,7.827789
51,1174.1683,15.655578
52,391.38943,11.741683
53,782.7789,15.655578
54,782.7789,11.741683
55,1174.1683,11.741683
56,1956.9471,11.741683
57,391.38943,3.9138944
58,1565.5577,11.741683
59,782.7789,11.741683
60,1174.1683,15.655578
61,782.7789,7.827789
62,391.38943,7.827789
63,1174.1683,11.741683
64,1565.5577,15.655578
65,391.38943,19.569471
66,391.38943,19.569471
67,782.7789,7.827789
68,1565.5577,11.741683
69,782.7789,15.655578
70,782.7789,11.741683
71,1565.5577,11.741683
72,1956.9471,15.655578
73,2348.3367,7.827789
74,2739.726,11.741683
75,3131.1155,23.483366
76,3913.8943,23.483366
77,5870.842,23.483366
78,7827.7886,27.39726
79,10176.125,39.138943
80,13698.631,54.79452
81,17612.523,58.708416
82,21526.418,86.105675
83,28180.04,109.58904
84,32876.71,148.72798
85,39530.332,172.21135
86,45792.562,223.09198
87,51272.016,281.80038
88,57534.25,352.2505
89,63405.086,414.8728
90,67710.375,500.9785
91,72015.66,567.51465
92,75929.55,653.62036
93,78669.28,720.15656
94,80626.22,778.865
95,81800.39,825.8317
96,84540.12,868.8845
97,85714.29,900.1957
98,87279.84,919.76514
99,88845.4,927.59296
100,90019.57,939.33466
101,92367.91,954.99023
102,94324.85,954.99023
103,96673.195,962.818
104,99021.52,974.5597
105,100195.695,986.3014
106,104500.98,1001.957
107,106066.53,1033.2681
108,108414.875,1060.6654
109,110763.21,1084.1487
110,111154.6,1127.2015
111,112720.16,1142.8572
112,112328.766,1181.9961
113,113894.33,1201.5656
114,113894.33,1225.049
115,113502.94,1240.7045
116,113502.94,1248.5323
117,112328.766,1256.3601
118,112720.16,1244.6184
119,111937.375,1232.8767
120,112720.16,1228.9628
121,112328.766,1217.2212
122,113502.94,1205.4795
123,113502.94,1209.3933
124,114677.1,1201.5656
125,115068.5,1205.4795
126,115851.266,1209.3933
127,117416.83,1221.135
128,118199.61,1225.049
129,118982.38,1248.5323
130,119373.78,1256.3601
131,119373.78,1272.0156
132,119765.164,1283.7573
133,119765.164,1295.499
134,119373.78,1307.2407
135,119373.78,1311.1545
136,118591.0,1311.1545
137,117808.22,1311.1545
138,118199.61,1299.413
139,117416.83,1291.5851
140,118199.61,1287.6713
141,117416.83,1279.8434
142,117416.83,1287.6713
143,117808.22,1275.9296
144,118982.38,1272.0156
145,118199.61,1272.0156
146,119373.78,1279.8434
147,119373.78,1264.1879
148,120156.555,1279.8434
149,120939.336,1283.7573
150,120547.95,1295.499
151,120547.95,1303.3268
152,120547.95,1307.2407
153,120156.555,1303.3268
154,121722.11,1307.2407
155,120156.555,1311.1545
156,120547.95,1315.0685
157,119765.164,1311.1545
158,120547.95,1318.9824
159,119765.164,1307.2407
160,119373.78,1291.5851
161,120156.555,1307.2407
162,120156.555,1299.413
163,119765.164,1287.6713
164,120156.555,1287.6713
165,119765.164,1291.5851
166,120939.336,1291.5851
167,120547.95,1283.7573
168,120156.555,1295.499
169,121330.72,1295.499
170,121330.72,1291.5851
171,121722.11,1307.2407
172,121722.11,1303.3268
173,121722.11,1318.9824
174,122504.89,1315.0685
175,121330.72,1311.1545
176,122113.51,1315.0685
177,121330.72,1326.8102
178,121330.72,1318.9824
179,120156.555,1322.8962
180,120547.95,1315.0685
181,120156.555,1311.1545
182,120156.555,1307.2407
183,120547.95,1303.3268
184,120547.95,1303.3268
185,119765.164,1303.3268
186,120939.336,1303.3268
187,120547.95,1303.3268
188,121722.11,1295.499
189,121330.72,1295.499
190,122504.89,1303.3268
191,121722.11,1307.2407
192,122896.28,1307.2407
193,122113.51,1311.1545
194,122113.51,1318.9824
195,121722.11,1311.1545
196,121330.72,1318.9824
197,120939.336,1322.8962
198,121722.11,1322.8962
199,120547.95,1322.8962
200,121330.72,1315.0685
201,121330.72,1307.2407
202,121722.11,1315.0685
203,120939.336,1303.3268
204,120939.336,1299.413
205,121330.72,1303.3268
206,121330.72,1299.413
207,121722.11,1299.413
208,121722.11,1307.2407
209,122896.28,1307.2407
