TimeStep,Channel A,Channel C
0,782.7789,-1.9569472
1,1174.1683,-3.9138944
2,782.7789,-1.9569472
3,1565.5577,3.9138944
4,1174.1683,-1.9569472
5,1174.1683,3.9138944
6,1565.5577,-1.9569472
7,391.38943,-1.9569472
8,1174.1683,-1.9569472
9,782.7789,1.9569472
10,1956.9471,-1.9569472
11,391.38943,1.9569472
12,782.7789,0.0
13,391.38943,0.0
14,1174.1683,-1.9569472
15,1174.1683,-5.8708415
16,1174.1683,-1.9569472
17,1565.5577,-1.9569472
18,1174.1683,-1.9569472
19,782.7789,0.0
20,1174.1683,-5.8708415
21,1174.1683,-5.8708415
22,391.38943,-1.9569472
23,782.7789,1.9569472
24,1174.1683,-5.8708415
25,1174.1683,-3.9138944
26,1565.5577,-3.9138944
27,391.38943,-1.9569472
28,1956.9471,-3.9138944
29,1174.1683,1.9569472
30,1174.1683,0.0
31,1174.1683,1.9569472
32,1956.9471,3.9138944
33,1565.5577,0.0
34,1174.1683,3.9138944
35,1174.1683,-1.9569472
36,1174.1683,-1.9569472
37,1956.9471,1.9569472
38,1174.1683,-1.9569472
39,1174.1683,0.0
40,1174.1683,1.9569472
41,391.38943,0.0
42,782.7789,0.0
43,1565.5577,1.9569472
44,1174.1683,-1.9569472
45,1565.5577,-1.9569472
46,1956.9471,1.9569472
47,1956.9471,5.8708415
48,1565.5577,3.9138944
49,1565.5577,1.9569472
50,1174.1683,0.0
51,1174.1683,-3.9138944
52,391.38943,-1.9569472
53,1174.1683,-1.9569472
54,1565.5577,1.9569472
55,1174.1683,1.9569472
56,782.7789,0.0
57,782.7789,-1.9569472
58,1174.1683,0.0
59,1174.1683,0.0
60,782.7789,-1.9569472
61,1174.1683,0.0
62,1565.5577,0.0
63,782.7789,-1.9569472
64,1174.1683,0.0
65,1174.1683,1.9569472
66,1174.1683,0.0
67,1956.9471,1.9569472
68,782.7789,-3.9138944
69,1565.5577,1.9569472
70,1174.1683,-5.8708415
71,1956.9471,-3.9138944
72,1956.9471,0.0
73,2348.3367,3.9138944
74,3131.1155,3.9138944
75,3913.8943,-3.9138944
76,5870.842,7.827789
77,7827.7886,7.827789
78,9001.957,7.827789
79,12133.072,13.69863
80,14872.798,17.612524
81,19569.47,23.483366
82,24266.145,29.354208
83,29745.596,37.181995
84,36399.215,52.837574
85,41878.668,64.579254
86,47358.12,88.06262
87,54011.742,107.632095
