Target ID,Iteration,EMP voltage [V],Glitch offset [ns],Glitch width [ns],xPos [mm],yPos [mm],zPos [mm],Peak Voltage Chip Shouter,Peak Voltage Probe,Peak Width,Area under pulse,Rawdata Filename
,0,200,20,80,51,138,12,160861.06,78.47358,114,13869.472,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_51,138,12_0.csv' mode='w' encoding='utf-8'>"
,1,200,20,80,51,138,12,158904.11,76.51663,115,13699.609,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_51,138,12_1.csv' mode='w' encoding='utf-8'>"
,2,200,20,80,51,138,12,164383.56,79.25636,116,14104.99,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_51,138,12_2.csv' mode='w' encoding='utf-8'>"
,3,200,20,80,51,138,12,160078.28,77.10372,114,13812.622,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_51,138,12_3.csv' mode='w' encoding='utf-8'>"
,4,200,20,80,51,138,12,165166.34,79.25636,112,13938.454,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_51,138,12_4.csv' mode='w' encoding='utf-8'>"
,5,200,20,80,51,138,12,162426.61,77.6908,114,13847.651,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_51,138,12_5.csv' mode='w' encoding='utf-8'>"
,6,200,20,80,51,138,12,166731.89,79.25636,114,13996.185,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_51,138,12_6.csv' mode='w' encoding='utf-8'>"
,7,200,20,80,51,138,12,166340.5,78.47358,115,13913.796,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_51,138,12_7.csv' mode='w' encoding='utf-8'>"
,8,200,20,80,51,138,12,162426.61,77.49511,113,13753.619,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_51,138,12_8.csv' mode='w' encoding='utf-8'>"
,9,200,20,80,51,138,12,167906.08,80.03914,110,14050.978,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_51,138,12_9.csv' mode='w' encoding='utf-8'>"
