,"Area under pulse, flattened"
0,14284892.3373714
1,14982168.258160602
2,15063303.291715698
3,15098254.370262291
4,15035679.023275599
5,15004555.743128898
6,14985996.059019197
7,14939142.8198111
8,14952434.402437102
9,14962861.037812106
10,14902622.275734605
11,14932164.370689003
12,14849878.6462299
13,14780129.137491595
14,14789639.9012892
15,14783467.6696905
16,14785851.242596898
17,14804583.1402601
18,14840904.084732404
19,14766774.921954902
20,14711675.1147586
21,14641784.7038701
22,14658352.214783702
23,14680074.336216098
24,14639365.924741106
25,14656399.185986994
26,14638031.280567998
27,14641385.485363903
28,14603953.012293197
29,14585397.234319605
30,14602794.479875997
31,14589784.6992521
32,14552684.899172902
33,14582011.715405297
34,14591851.240652705
35,14590015.628802903
36,14566688.810832202
37,14503632.0795643
38,14490129.123605601
39,14509358.097006999
40,14510219.1559879
41,14491291.565024802
42,14446951.061337605
43,14507162.4079457
44,14505162.409310604
45,14479980.3983985
46,14517522.4771387
47,14479596.8327139
48,14419264.156613903
49,14419181.966634799
50,14425408.961513203
51,14377933.444872005
52,14364606.610905198
53,14374093.908572096
54,14409585.088608801
55,14380180.012190104
56,14363185.877575697
57,14349792.539898993
58,14370759.266134901
59,14335902.1250942
60,14360614.454264699
61,14377248.495215397
62,14330453.982342694
63,14336508.779636595
64,14313459.8612307
65,14344160.439722098
66,14368602.726712005
67,14328477.472031102
68,14347185.878761904
69,14330489.214850502
70,14309679.036847504
71,22871307.240255803
72,23644747.559050098
73,23707338.5615456
74,23659581.218872797
75,23664704.522001196
76,23704966.7267878
77,23554493.15501709
78,23519346.3900392
79,23503362.0437962
80,23552027.400489498
81,23563080.2433493
82,23544148.727249313
83,23573455.9695901
84,23591866.930155702
85,23490868.9000348
86,23504939.338474303
87,23465467.7155761
88,23482074.3664125
89,23397303.326121107
90,23403303.334093202
91,23372818.023195196
92,23391401.177605912
93,23325287.6872405
94,23386403.139328804
95,23350900.2033781
96,23352821.9219916
97,23300731.914508697
98,23315827.787151705
99,23274661.4425891
100,23196504.88803721
101,23236070.460407007
102,23221522.499731403
103,23343166.328563098
104,23271506.85917511
105,23228563.594853107
106,23224426.630127605
107,23157181.990906797
108,23318289.623821598
109,23257001.962106008
110,23278461.839389406
111,23256500.985265806
112,23254782.798703905
113,23232234.8245748
114,23222919.761583906
115,23178477.4936844
116,23162575.355850596
117,23190254.404223498
118,23203334.633324202
119,23150958.8988585
120,23231499.02793051
121,23250978.4726822
122,23251589.0423656
123,23283299.428348802
124,23274966.727207605
125,23246144.8220951
126,23214227.008322395
127,23244508.808953304
128,23213013.691359896
129,23226273.969068013
130,23171542.0787457
131,23229178.075983696
132,23185209.392541498
133,23150332.679536995
134,23176395.3008909
135,23173565.5571737
136,23164407.048424095
137,23136911.931237496
138,23177816.053523995
139,23103299.407926798
140,23209005.878194503
141,23137839.526142202
142,267662.52363347006
143,253339.92100475993
144,234582.58275387005
145,212634.24564111003
146,194951.03739556402
147,177864.1097647859
148,162295.53822219803
149,146732.407221776
150,132824.38369209203
151,120221.80031831401
152,111290.84149684398
153,102240.03910572798
154,93034.050884422
155,76264.716138672
156,69149.06058433499
157,62808.943238862
158,57362.857127705
159,52373.718124759995
160,47859.76509262798
161,43601.03715868201
162,39919.49115492502
163,36741.526361316
164,33811.84929962499
165,31180.381596556013
166,28779.69664924799
167,26661.350318530007
168,24699.892336401008
169,22766.712360566
170,21378.767132424
171,19734.7710158837
172,18434.242645022703
173,17289.048905372
174,16084.8258004214
175,15131.0371661592
176,14257.373767493702
177,13290.6340380732
178,12530.6183880662
179,11788.2152592143
180,11070.219166918001
181,10477.479450614801
182,9875.581202974005
183,9422.778851537701
184,8942.039116894
185,8475.136990353001
186,8039.5890341556005
187,7669.1722183824995
188,7243.436401347001
189,6931.1565541541
190,6613.780823161002
191,6280.774960630398
192,6020.052844908
193,5744.354210415598
194,5476.424666294
195,5228.050886662899
196,5064.4794515516005
197,4888.091975578001
198,4691.743640996398
199,3796.4031227564
200,3600.7495016942003
201,3463.3297377619992
202,3326.973572747801
203,3179.2279769729003
204,3033.0567426646
205,2915.409002060101
206,2784.9618403123986
207,2667.9745607055
208,2568.6320957984
209,2440.1164354633
210,2347.2680983013006
211,2250.6154611554
212,2171.0450082758
213,755960.17387182
214,708337.37743832
215,645485.81230986
216,583800.4890068199
217,528962.2301532401
218,481582.87563001
219,434122.7983872699
220,389754.20529341995
221,355724.6576883561
222,323532.563527306
223,292538.08252888615
224,264769.628900828
225,239795.93002663195
226,219692.172100902
227,198248.96353609598
228,183745.47945951
229,167445.283789558
230,154996.20309747002
231,133392.543833091
232,122796.477504498
233,112684.71625027098
234,103939.43248469097
235,95406.82974641303
236,88573.131118479
237,81649.19759991899
238,75660.19527375801
239,69940.86100636101
240,64918.20930514101
241,60295.381656025005
242,56242.96465821299
243,52529.99991040301
244,49146.585370286
245,46119.324767711005
246,43130.968657779
247,40445.039336347996
248,37806.183888873995
249,35556.76122055269
250,33819.8825654221
251,31801.9333993654
252,29913.79248667449
253,28112.53225192941
254,26820.64187029259
255,25421.97653085309
256,24007.36982579051
257,22632.30919680019
258,21493.8004034093
259,20351.980408643194
260,19467.902158013898
261,18389.7260528647
262,17557.084147130503
263,16806.919727609402
264,16085.354220153997
265,15332.857169436
266,14702.0567422344
267,14078.7338341906
268,13408.062615523999
269,12837.342467118697
270,12275.148712367998
271,11775.3502964965
272,11290.275946220701
273,10864.256370011102
274,10451.0489228161
275,9996.845411555898
276,9630.9961124281
277,9272.3757390814
278,9020.4089946267
279,8700.037165941802
280,8368.013697981498
281,8017.246608732202
282,7020.234822607197
283,6783.946155227001
